seed,Name,Spec,L,MsTrue,comp0,dist
10185257,HIP 92984,G1V,1.28,1.1734607957347516,0.49874910877890144,26.5
10185257,HIP 93069 A,M2V,0.12,0.6638679112887093,0.2388735229482625,12.29
10185257,HIP 93185,G0,0.97,0.9955833210011863,0.5991590041689914,23.84
10185257,HIP 93509,G2V,1.2,1.066730644813638,0.5028618219646647,27.17
10185257,HIP 93858,G8V,0.94,0.9594781724610965,0.6992442729705709,16.95
10185257,HIP 93926,G8VSB,0.63,0.9070197876571678,0.24196534787272425,27.96
10185257,HIP 93966,G5V,1.58,1.1979759156889702,0.4584322016599836,21.43
10185257,HIP 94020 A,K0V,0.55,0.9732774399686647,0.13379689667882957,28.77
10185257,HIP 94346,G8V,0.6,0.9011485049192822,0.5997223130235899,20.02
10185257,HIP 94645,F8V,2.1,1.149867735456238,0.2878220208121036,27.55
10185257,HIP 94650,K0,0.44,0.9017658256147436,0.11142591294701264,26.27
10185257,HIP 94757,G2V,1.31,1.123678458729107,0.42876954049448573,29.58
10185257,HIP 94761,M2.5V,0.03,0.494814168139257,0.30045534727974954,5.85
10185257,HIP 95149,G1/2V,0.82,1.0506821902330699,0.6823811909888348,18.83
10185257,HIP 95319,G8V,0.7,1.0261849291266347,0.7263966021002225,15.76
10185257,HIP 95447,G8IVvar,1.84,1.1666701683081697,0.41387889176314135,15.18
10185257,HIP 95492,F7V,2.19,1.2702605958158995,0.2711676734048111,27.39
10185257,HIP 96085,K2V,0.33,0.8326931072434768,0.4218079256331064,17.63
10185257,HIP 96100,G9.0V,0.44,0.8705990670153773,0.8434497535712138,5.75
10185257,HIP 96124,K0+F/G,0.96,0.9786935890586815,0.479473631970657,27.23
10185257,HIP 96183,G5V,0.71,0.9477430951630215,0.6289784038186279,20.56
10185257,HIP 96258,F7V,2.82,1.3320722071530862,0.17818606769488726,25.11
10185257,HIP 96395,G0,1.06,1.1253977044520163,0.5933692768767633,24.11
10185257,HIP 96895,G2V,1.7,1.155047520333264,0.4253164493605599,21.08
10185257,HIP 96901,G5V,1.39,1.0663544335468254,0.5214497365870346,21.21
10185257,HIP 97295,F5,3.84,1.2985762929600742,0.11074192962956246,21.23
10185257,HIP 97420,G2III,1.1,1.13337037031695,0.5404856456754906,26.24
10185257,HIP 97438,G0,1.49,1.1265283182649053,0.4289393464979404,27.71
10185257,HIP 97640,G5,0.54,0.9045039296921441,0.13758179701067558,28.41
10185257,HIP 97675,F8V,2.88,1.331373174151413,0.19054410886976586,19.19
10185257,HIP 97767,G0V,2.22,1.1466615737862398,0.2701778732665929,26.62
10185257,HIP 97944,K3/4V,0.8,0.9800627730472861,0.7367608509298958,14.05
10185257,HIP 98192,K1V,0.51,0.9467301960071477,0.1749723006938761,26.72
10185257,HIP 98470,F7V,2.13,1.2298831568594562,0.3171393923167066,21.25
10185257,HIP 98505,G5,0.34,0.878199076529042,0.3162648160323559,19.45
10185257,HIP 98677,G7V,0.49,0.8665448215941849,0.559586492653863,18.97
10185257,HIP 98698,K3/4V,0.23,0.8145379508889399,0.5959983908846572,12.86
10185257,HIP 98767,G6IV+...,1.2,1.0672467933054899,0.6297219734586871,15.86
10185257,HIP 98792,K1V,0.33,0.8729910020725048,0.5597990575377395,15.77
10185257,HIP 98813,G1V,1.17,1.0736077093929282,0.49548967462340154,27.64
10185257,HIP 98819,G1V,1.35,1.1242912613900922,0.5595041845838229,17.77
10185257,HIP 98828,K3V,0.39,0.8631162313237034,0.2504219690375366,21.95
10185257,HIP 98921,G5IV,1.08,0.9932401291643848,0.6558845722175055,18.79
10185257,HIP 98959,G3V,1.06,1.1065014560422763,0.6719226547566902,17.73
10185257,HIP 99137,F8/G0V,1.51,1.1251569851606191,0.46521008939457514,23.43
10185257,HIP 99240,G8.0IV,1.33,1.1690437773661633,0.6137303148114875,6.11
10185257,HIP 99316 A,K0...,0.53,0.912528825076293,0.3413706297825741,23.66
10185257,HIP 99452,K1V,0.5,0.8628334707721942,0.485911149175402,20.39
10185257,HIP 99461,K2.5V,0.28,0.8570069958180536,0.8679208836869726,6.01
10185257,HIP 99572,F5V,3.06,1.229032705481251,0.13539595331253595,27.7
10185257,HIP 99701,M0.0V,0.07,0.5431928135290941,0.7274757131894531,6.2
10185257,HIP 99711,K1/2V,0.32,0.8843062547604017,0.2863634295822491,19.32
10185257,HIP 99825,K3V,0.42,0.9197992063387903,0.8222955384138562,8.91
10185257,HIP 100017,G3V,1.18,1.042966638106338,0.6264137309979363,17.57
10185257,HIP 100511,F8V,2.07,1.2779328777809549,0.30256713869113055,26.25
10185257,HIP 100925,G6/8V,0.81,0.9626661725152232,0.6702809733934524,19.52
